its my job	é o meu trabalho
i am studying	eu estou a estudar
i love you	amoo
its red	é vermelha
theyre home	elas estão em casa
he got angry	ele se enraiveceu
i loved you	ameite
ignore that	ignoreo
tom paid	o tom pagou
try it	provea
you cant go	você não pode ir
well help	nós ajudaremos
where was it	onde estava
im doing ok	estou bem
here we are	aqui estamos
im ready	estou pronto
is tom lying	o tom está mentindo
tom stutters	tom gagueja
its our car	é o nosso carro
do it anyway	faça mesmo assim
i helped out	eu ajudei
you will die	você vai morrer
theyll call	eles chamarão
tom ate	o tom comeu
try again	tentem de novo
now im sure	agora estou convicto
im happy	eu sou feliz
toms lonely	o tom está solitário
were calm	estamos tranquilos
help us	ajudemnos
he is tall	ele é grande
tom paid me	tom me pagou
he laughed	ele riu
we want meat	nós queremos carne
stop there	pare ali
thats great	que bom
tom survived	tom sobreviveu
keep cool	mantenha a calma
i feel old	sintome velho
are you mad	estás tola
tom is ok	tom está bem
im loved	eu sou amado
taste this	experimente isto
back off	recue
why not both	por que não as duas
im very sad	estou muito triste
fill it up	encha o tanque
im horrible	eu sou horrível
im stuck	estou presa
i saw a dog	eu vi um cachorro
get serious	fale sério
be fair	sede justos
all is well	tudo está bem
no way	sem chance
remember it	lembre disso
i cant eat	eu não consigo comer
follow us	sigamnos
you tried	você tentou
we sat there	nós nos sentamos ali
try the cake	experimente o bolo
im free now	agora eu sou livre
well do it	nós faremos
we miss you	estamos com saudade de você
i hired tom	eu contratei o tom
he hugged her	ele a abraçou
hold this	segure isto
i cant read	eu não sei ler
run	corram
whos that	quem é aquele
im jealous	sou ciumenta
now im sure	agora eu tenho certeza
are you in	você está dentro
are we done	terminamos
perfect	perfeito
we all die	todos nós morremos
get over here	venha aqui
i felt cold	eu fiquei com frio
it was fun	foi divertido
there it is	aqui está
we miss tom	nós sentimos saudades do tom
i need glue	eu preciso de cola
oh no	ah não
are you awake	você está acordado
i like fish	eu gosto de peixe
toms eating	o tom está comendo
i felt ill	eu me senti mal
how delicious	que delicioso
god bless you	que deus te abençoe
who will win	quem ganhará
please hurry	apressese por favor
he is not in	ele não está dentro
are you	vocês têm anos
i am trying	eu estou tentando
i missed you	senti sua falta
he is reading	ele está lendo
i want that	quero isso
come quickly	venha rápido
ill change	mudarei
click to edit	clique para editar
i am japanese	sou japonesa
you are ugly	tu és feia
i have time	eu tenho tempo
are you blind	você é cega
she bit him	ela o mordeu
im no liar	eu não sou mentiroso
dont sing	não cantem
they swam	elas nadaram
i got scared	fiquei com medo
youre weak	você é fraco
i want this	quero isso
well starve	nós vamos morrer de fome
ladies first	as damas primeiro
lets see	vejamos
once again	outra vez
come over	venha
we agreed	concordamos
i love you	amote
my eyes hurt	meus olhos doem
im hungry	estou com fome
youre nuts	está doido
i am sick	estou doente
money talks	o dinheiro fala mais alto
tom is upset	tom está chateado
did tom die	o tom morreu
turn it off	desligue
am i too late	estou muito atrasado
mary came in	mary entrou
im sure	tenho certeza
tom drives	tom dirige
dont get fat	não engorde
i exercised	eu me exercitei
they called	ligaram
did tom pray	o tom rezou
i love beer	eu adoro cerveja
ignore tom	ignora o tom
stop moving	pare de se mexer
i cant say	não posso dizer
help me	ajudeme
tom hates it	tom odeia
im a pro	sou um profissional
im a writer	eu sou escritor
well done	bem feito
be sensible	tenham bom senso
that does it	tom faz isso
no one cares	ninguém se importa
can i do this	eu consigo fazer isso
ladies first	primeiro as damas
i like these	gosto desses
you may swim	podes nadar
well be ok	vamos ficar bem
youre cute	vocês são bonitos
there he is	lá vem ele
get your own	pegue o seu próprio
youre fired	vocês estão despedidos
he is drunk	ele está embriagado
anyone home	tem alguém em casa
its done	está pronto
we care	nós nos importamos
i play piano	eu toco piano
i despise tom	eu desprezo o tom
no problem	não há problema
were all ok	estamos todos bem
men cry too	homens também choram
im waiting	estou esperando
show him in	façao entrar
he ignored me	ele me ignorou
you may stay	podeis ficar
do they know	elas sabem
tom was sick	tom estava doente
what a shame	que vergonha
were safe	estamos salvos
its stupid	ele é estúpido
im stuck	eu estou preso
they won	elas venceram
tom is deaf	o tom é surdo
replace it	substitua
please come	vem por favor
i loved you	eu te amava
im poor	sou pobre
tom can cook	tom sabe cozinhar
i give in	eu me rendo
are you home	vocês estão em casa
thats okay	está ok
he is hated	ele é odiado
i was right	eu tinha razão
i said yes	eu disse sim
well dance	dançaremos
is that mine	esse é o meu
did you call	você ligou
this is hers	isso é dela
youre bad	você é mau
were timid	nós somos tímidos
im guilty	eu sou culpada
i am curious	quero saber
im not well	eu não estou me sentindo bem
its there	está lá
you will die	você morrerá
im a cook	sou cozinheiro
dont forget	não se esqueça
it was cold	estava frio
its hailing	está chovendo granizo
i always walk	eu sempre caminho
that works	funciona
i feel blue	estou triste
youre old	sois velhos
do they know	eles sabem
ill get it	eu o pegarei
its a waste	é um desperdício
catch him	pegueo
he has guts	ele tem coragem
eat slowly	coma devagar
im up here	estou aqui em cima
i threw up	eu vomitei
speak up	fala mais alto
my legs hurt	as minhas pernas estão doendo
theyre cool	eles são legais
it happened	aconteceu
i am online	estou online
who are you	quem é você
it was funny	foi engraçado
im the last	eu sou o último
i am in paris	eu estou em paris
tom stayed	o tom ficou
have some	pegue um pouco
i dont mind	não me importo
itll be fun	será divertido
tom got lost	tom se perdeu
lets hurry	apressemonos
we heard you	ouvimos vocês
let me see	deixeme olhar
good job	bom trabalho
im sad	eu sou triste
we like tom	nós gostamos do tom
im picky	sou exigente
tom knew	tom sabia
i want cash	quero dinheiro
i hate you	eu te odeio
tom blinked	tom piscou
theyre new	eles são novos
he seems ill	ele parece doente
im free	eu sou livre
war is evil	a guerra é ruim
hi tom	oi tom
come quick	vem logo
speak slower	fale mais devagar
we knew this	sabíamos disto
im broke	estou falido
i am weak	eu estou fraco
we need tom	precisamos do tom
its a shame	é uma vergonha
tom is shy	tom é tímido
can you come	você pode vir
i was square	eu era quadrado
i live alone	eu moro sozinha
im grounded	estou de castigo
im normal	eu sou normal
i like these	eu gosto desses
how is tom	como vai o tom
were crazy	somos malucos
we need them	a gente precisa deles
it was fair	aquilo foi justo
never mind	esquece
sit with me	sentese comigo
tom got away	tom fugiu
well get it	vamos buscálo
stay down	fique abaixado
is that okay	tudo bem
i came alone	eu vim sozinha
come with me	vem comigo
dont die	não morra
i dug a hole	eu cavei um buraco
he is nice	ele é legal
tom is fussy	tom é muito exigente
why not both	por que não os dois
are you okay	tudo bem contigo
i dont know	eu não sei
be fair	sê justa
thank you	obrigado
do as he says	faça como ele diz
take care	cuidese
i am better	eu sou melhor
are you bored	você está entediada
god exists	deus existe
wait	espere
im happy	eu estou feliz
well attack	nós iremos atacar
tom swam	tom nadou
hold the rope	segure a corda
he got away	ele afastouse
lets hurry	devemos nos apressar
keep away	mantenhase afastado
i cant see	não posso ver
turn it on	ligueo
we want it	nós queremos
i was angry	eu estava bravo
get lost	vaite embora
tom is there	tom está lá
we are happy	nós somos felizes
how is it	como isso é
hello	alô
tom can walk	tom sabe andar
i tried	eu tentei
i will learn	eu irei aprender
were afraid	estamos com medo
stop yelling	pare de gritar
were greedy	nós somos gananciosos
weve won	nós vencemos
turn it on	liguea
who will pay	quem pagará
wholl go	quem vai
i often read	eu leio frequentemente
where am i	onde é que estou
tom is young	o tom é jovem
youre old	a senhora está velha
youre old	as senhoras são velhas
i need it	preciso
im bipolar	sou bipolar
is it far	é longe
try to relax	tente relaxar
im wrong	estou errado
youve tried	você tentou
i love her	amoa
i want mary	eu quero a mary
he lost face	ele perdeu a dignidade
have a seat	sentate
i do like tom	eu faço como o tom
help me	ajudeme
tom laughed	tom riu
say please	diga por favor
are you home	estás em casa
forget him	esqueçao
please smile	por favor sorria
keep out	não entre
theyll know	eles saberão
im sorry	desculpe
im relaxed	estou relaxado
im a father	eu sou pai
tom is awake	o tom está acordado
let me leave	deixame sair
we survived	nós sobrevivemos
its empty	está vazio
i like both	eu gosto dos dois
they hugged	elas se abraçaram
tom is blind	o tom é cego
keep warm	mantenha aquecido
take it	pegao
here we are	aqui estamos
i need a nap	eu preciso de um cochilo
my eyes hurt	os meus olhos estão doendo
tom is pale	tom está pálido
i am a woman	eu sou uma mulher
i love him	eu gosto dele
its a date	é um encontro
whats new	quais as novas
tomll wait	tom vai esperar
really	é sério
this is new	isso está novo
its an omen	é um presságio
he can read	ele consegue ler
tell me	dizme
are we lost	nós estamos perdidos
thatll help	isso vai ajudar
its sad	é triste
he is eight	ele tem oito anos
we survived	sobrevivemos
please leave	abandone o recinto por favor
im not sure	eu não tenho certeza
try again	tente mais uma vez
i am coming	estou chegando
were smart	nós somos espertos
i forgot	eu me esqueci
we just met	acabamos de nos conhecer
be friendly	sejam amigáveis
we try	tentamos
i pay taxes	pago os impostos
get started	começa
youre good	você é bom
im worried	estou preocupada
be serious	fique sério
terrific	magnífico
youll do it	você vai fazer isso
im a genius	eu sou um gênio
hes skinny	ele é magro
theyre fast	elas são rápidas
i love you	amo você
they obeyed	eles obedeceram
please wait	por favor espere
we can swim	sabemos nadar
keep out	afastese
i hate math	eu detesto matemática
look again	olhe novamente
he cheated me	ele me enganou
well get it	nós vamos buscálo
i am curious	eu sou curioso
tom has it	o tom tem
well scream	nós gritaremos
i believe you	eu acredito em vocês
is it toms	é do tom
you are ugly	vocês são feias
i am eating	estou a comer
sign this	assine isso
get out	saia
im young	sou jovem
i am studying	estou estudando
im packing	estou fazendo as malas
ill be late	vou me atrasar
tom grimaced	tom fez uma careta
forgive me	perdoeme
i am going	voume embora
youre old	vocês são velhas
is she nice	ela é agradável
they crashed	eles colidiram
tom was old	tom era idoso
he will walk	ele vai caminhar
im eating	estou comendo
tell me more	fale mais
tom exhaled	tom exalou
i ate caviar	eu comi caviar
tom phoned	tom telefonou
stand by	aguarde
i am a cook	sou cozinheiro
its a pity	é uma pena
dont shout	não grites
will tom die	o tom vai morrer
stay alert	se mantenha alerta
he is kind	ele é generoso
we cant go	nós não podemos ir
get tom	pegue tom
i cant do it	não posso fazer isso
i set a trap	coloquei uma armadilha
anybody here	tem alguém aqui
i felt bad	eu me senti mal
i wont cry	eu não vou chorar
im so bored	eu estou muito entediado
we like it	gostamos disso
hes adorable	ele é adorável
taste this	experimenta isto
love lasts	o amor dura
i do remember	eu me lembro sim
i fell	eu caí
thats it	é isso
be discreet	sejam discretas
i hired tom	contratei o tom
im so happy	eu sou muito feliz
youre shy	você é tímido
jump	pulem
everyone wins	todo mundo ganha
thats ok	está tudo ok
ive lost it	eu o perdi
move over	chegue para frente
tom is bald	o tom é careca
im sociable	eu sou sociável
whos right	quem está certo
be careful	tome cuidado
welcome	bemvinda
were better	estamos melhor
im homesick	estou com saudade de casa
i cant talk	não posso falar
thats odd	é bizarro
dont run	não corras
im not dumb	eu não sou burro
she walks	ela anda
stand still	fique parada
tomll die	tom vai morrer
im not cool	eu não sou legal
youre good	você é boa
aint he cute	ele não é fofinho
i dont mind	eu não me importo
pick him up	pegueo
is it broken	tá quebrado
youll be ok	você ficará bem
tom was ok	tom estava bem
tom said yes	o tom disse sim
beer is beer	cerveja é cerveja
who survived	quem sobreviveu
are you	você tem
i dont care	eu não me importo
i admire you	eu te admiro
run	corre
im faster	eu sou mais rápido
we can do it	nós podemos fazer isso
take the bus	vá de ônibus
we have time	temos tempo
im not deaf	não sou surdo
im at work	estou no trabalho
help him	ajudeo
i will learn	aprenderei
i danced	eu dancei
i know that	eu sei disso
youll do it	você vai fazer
i rarely cry	eu raramente choro
wonderful	maravilhoso
i want mary	quero a mary
i do like you	eu gosto muito de você
lets start	vamos começar
be friendly	sê amigável
he lied to us	ele mentiu para nós
then what	e daí
you go first	por nada
youre gross	você é nojento
im athletic	sou atlético
i dont smoke	eu não fumo
i can fly	eu sei voar
come with us	venham conosco
you know her	você a conhece
im autistic	sou autista
i am happy	estou feliz
tom wake up	tom acorde
i made rice	eu fiz arroz
are you hurt	vocês se machucaram
am i in love	estou amando
you missed	vocês perderam
whos tom	quem é o tom
ill go in	vou entrar
life is hard	a vida é dura
help tom out	ajuda o tom
i wont lie	eu não vou mentir
i want mine	quero o meu
do you smoke	vocês fumam
is that mine	isso é meu
that helped	isso ajudou
im creative	sou criativo
theres tom	ali está o tom
tom drove	tom dirigiu
tom fainted	tom desmaiou
i read lips	leio lábios
they sweated	eles suaram
hows tom	como está o tom
be brave	seja valente
it suits me	ficame bem
dont be rash	não seja precipitado
this is me	este sou eu
i saw a ufo	eu vi um óvni
are you tall	você é alto
sit tight	aguenta firme
im coming	estou chegando
i cant stay	eu não posso ficar
hes asleep	ele está dormindo
hurry home	corra para casa
wait outside	espera lá fora
come along	venha conosco
youre upset	você está chateado
i like tea	eu gosto de chá
i do like you	gosto de você de verdade
im so happy	estou tão feliz
how awful	que terrível
tom is rich	tom está rico
tom works	tom trabalha
bring food	tragam comida
i remember	me lembro
how did it go	como foi
its awkward	é constrangedor
where is it	cadê
are you tired	você está cansado
i am married	eu sou casado
i am weak	eu sou fraco
toms happy	tom está feliz
were here	estamos aqui
its so big	é tão grande
that does it	o tom faz
im next	sou o próximo
he shaved	ele se barbeou
he will walk	ele irá caminhar
i cant cook	eu não sei cozinhar
do you dance	quer dançar
leave tom	deixe o tom
tom is hurt	tom está machucado
try to sleep	tente dormir
no one died	ninguém morreu
its my cd	é o meu cd
what a shame	que pena
try hard	esforcese
my arm hurts	o meu braço está doendo
its too hot	está muito quente
am i right	tenho razão
i also went	eu fui também
cool down	se acalme
who cares	quem liga
i see a rose	vejo uma rosa
keep back	fique afastado
is that you	é você
get your coat	pegue o seu casaco
come and see	venha ver
it cant be	não é possível
take it away	tire isso
dont cry	não chore
clean that up	limpe isso
i regret it	eu me arrependo
youre timid	você é tímida
are you busy	estás ocupada
stop crying	parem de chorar
nobody knows	ninguém sabe
i miss tom	eu sinto saudades do tom
i am thai	eu sou tailandês
you are big	você é grande
youre nuts	estás louco
what a feast	que banquete
well share	a gente vai compartilhar
wait a bit	espera um minuto
ignore tom	ignore o tom
i was joking	eu estava brincando
i remember	eu me recordo
theyre busy	eles estão ocupados
ill read it	eu vou ler
wash up	lavate
theyre gone	eles foram embora
whos dying	quem está morrendo
he is tired	ele está cansado
i lost again	eu perdi de novo
who phoned	quem telefonou
take these	leve esses
youre wise	tu és sábio
youve won	você venceu
tom said yes	tom disse que sim
were twins	nós somos gêmeos
hang on	aguardem
thats right	exatamente
i like pizza	eu gosto de pizza
are you bored	você está entediado
tom is angry	tom está com raiva
what a drag	que chatice
im reliable	eu sou confiável
this is easy	é fácil
move quietly	saia sem fazer ruído
i got stuck	emperrei
youre old	você está velha
dont push	não empurre
terrific	excelente
it was magic	foi mágico
tom was late	tom estava atrasado
stop crying	pare de chorar
this is mine	isso é meu
you scare me	você me assusta
i love trips	amo viagens
wake up	acorde
how do i look	como estou
i like candy	eu gosto de doce
i helped	eu ajudei
get away	se manda
you promised	vocês prometeram
were shy	somos tímidas
keep moving	continue andando
he is lying	ele está mentindo
tom jumped	tom pulou
what is love	que é o amor
im sincere	eu sou sincero
well help	ajudaremos
stop them	detenhamnos
im stunned	eu estou pasmado
what a pity	que pena
well fight	nós lutaremos
im not safe	eu não estou seguro
i will wait	eu irei esperar
get out	fora
go get a beer	vá buscar uma cerveja
be fair	seja justo
forgive us	nos perdoe
tom saw mary	tom viu maria
we love them	nós os amamos
this is real	isso é real
where is it	onde está
show me	me mostre
this is ok	está tudo bem
he is sick	ele está doente
now sit down	agora sentese
keep moving	continue se mexendo
how deep	qual é a profundidade
who is tom	quem é tom
we want tom	queremos o tom
tom got fat	tom engordou
is it ready	está pronto
i cough a lot	eu tusso muito
bring backup	tragam reforços
wait here	espere aqui
its hers	é dela
can you drive	você sabe dirigir
i got scared	eu fiquei com medo
dont run	não corram
tom is thin	tom é magro
we were sick	nós estávamos doentes
im serious	eu estou falando sério
im wrong	estou errada
dont die	não morram
i wont bite	eu não vou morder
youre old	o senhor está velho
please sit	por favor sentese
be cool	seja legal
im coming	eu estou vindo
dont forget	não esqueça
is it safe	é seguro
whos first	quem é o primeiro
i went there	eu fui lá
hi guys	olá pessoal
what a loser	que perdedora
toms famous	tom é famoso
he is spanish	ele é espanhol
he tries hard	ele se esforça muito
all is quiet	tudo está quieto
i miss it	saudades disso
stop smoking	parem de fumar
talk slower	fale mais devagar
he laughed	ele estava rindo
dance with me	dança comigo
who stopped	quem parou
i do love you	eu te amo mesmo
i slept fine	eu dormi bem
cuff him	algemeo
it happens	acontece
you won	você ganhou
i paid tom	eu paguei tom
im a client	eu sou cliente
im a man	sou um homem
we are free	somos livres
whos first	quem é a primeira
please hurry	apressemse por favor
i found it	achei
count to ten	conte até dez
itll work	vai funcionar
tom finished	tom terminou
keep them	fique com eles
we heard you	ouvimos você
im glad	estou contente
you woke me	você me acordou
check this	verifique isto
i teach here	eu dou aulas aqui
it amazed me	surpreendeume
im so fat	sou muito gordo
you did it	você o fez
i eat bread	eu como pão
tell me	digamme
its too far	isso é longe demais
thats him	é ele
call security	chame a segurança
have fun	divirtase
you may stay	vós podeis ficar
i will learn	eu vou aprender
is tom tall	o tom é alto
talk to us	converse com a gente
tom forgot	tom esqueceu
i love him	amoo
hello	oi
i want one	quero um
get real	acorda
are you deaf	você é surdo
wash up	lave o rosto
dont lie	não minta
tom took off	o tom foi embora
ill walk	andarei
ill start	começarei
thats ok	está tudo bem
tom isnt in	tom não está dentro
we all do it	todos nós fazemos isso
tom canceled	tom cancelou
i love it	eu amo isso
youre young	vocês são jovens
carry this	carregue isso
you cheated	vocês trapacearam
i feel silly	eu me sinto idiota
i was wrong	eu me enganei
please relax	por favor acalmese
i found you	eu te encontrei
lets go out	vamos sair
answer me	respondamme
who cheered	quem aplaudiu
youre cute	os senhores são bonitos
be friendly	sede amigáveis
they crashed	elas bateram
its similar	é parecida
lets dance	dancemos
he grows rice	ele cultiva arroz
we want one	nós queremos uma
its late	é tarde
he liked that	ele gostou daquilo
money talks	o dinheiro manda
is it you	é você
you called	você ligou
he talks well	ele fala bem
is that tom	aquele é o tom
its so cute	é tão fofo
i understood	eu entendi
dont be shy	não seja tímido
well dance	nós vamos dançar
i am tall	sou alto
im not mad	eu não sou louco
keep it	fica com ele
tom is nosy	tom é intrometido
youre old	tu estás velha
tell tom	conte ao tom
he smiled	ele sorriu
i jumped	eu pulei
tom is wise	tom é sábio
well attack	iremos atacar
what an idea	que ideia
i hate dogs	odeio cachorros
are you going	vocês estão indo
take this	pegue isso
keep cool	te acalma
i sell shoes	vendo sapatos
go ahead	continue
do you agree	você concorda
were even	estamos quites
get dressed	vistase
tom agrees	tom concorda
stop moving	parem de se mexer
try some	experimenta
we won	vencemos
hi im tom	olá sou o tom
we were lost	nós estávamos perdidos
hows tom	como vai o tom
do it for me	faça isso para mim
i am hot	tenho calor
you run	corra
they know us	eles nos conhecem
we wont win	nós não vamos vencer
i dont sing	eu não canto
all is still	tudo está calmo
i dont bite	eu não mordo
do it with me	faça comigo
hes swiss	ele é suíço
are you lying	você está mentindo
i got sick	eu fiquei doente
take a nap	tire um cochilo
we know tom	nós conhecemos tom
you amuse me	você me diverte
be prepared	estejam preparados
i need a job	preciso de um emprego
i am injured	estou machucado
its sweet	está doce
i regret it	me arrependo
youre smart	você é esperta
i want cash	eu quero dinheiro
im up	estou acordado
lets quit	vamos embora
she woke up	ela acordou
i got it	eu entendi
i need a pen	eu preciso de uma caneta
he coughed	ele tossiu
im not tall	eu não sou alto
you may stay	tu podes ficar
im a poet	sou poeta
please sing	cante por favor
can i ask why	posso perguntar o porquê
do what i say	façam o que eu digo
i did nothing	eu não fiz nada
theyre busy	elas estão ocupadas
its alive	ele está vivo
calm down	te acalma
im stuck	estou preso
im sorry	sinto muito
i want you	querote
it is a book	isso é um livro
will he live	ele vai viver
do i know tom	conheço o tom
youre safe	você está seguro
well be ok	nós vamos ficar bem
jump	pule
are you	vocês têm
were tired	estamos cansados
lift it up	levanteo
its working	está funcionando
i found you	te encontrei
i am japanese	eu sou japonês
stop	pare
keep looking	fique olhando
answer me	respondame
no way	de jeito nenhum
ill drive	dirigirei
come along	venha com a gente
i want you	eu a quero
tom died	o tom morreu
were famous	somos famosos
im young	eu sou jovem
really	sério
its blank	está em branco
please relax	por favor relaxe
im married	eu sou casada
you can come	você pode vir
im not dead	não estou morto
tom shaved	tom fez a barba
you promised	você prometeu
can you see	dá para ver
lets begin	vamos começar
sit here	senta aqui
may i sing	eu posso cantar
sit still	fique parado
theyre in	eles estão dentro
its stuck	está emperrado
can i go too	posso ir também
bring it back	traga de volta
follow him	sigao
im stuffed	estou cheio
do it for me	façam isso para mim
check that	verifica isso
we agree	nós concordamos
well done	parabéns
tom is scary	tom é assustador
tom will cry	tom vai chorar
i love you	eu te amo
tom is drunk	tom está embriagado
i didnt pay	eu não paguei
here we are	eisnos aqui
my leg hurts	minha perna dói
i raised tom	eu criei tom
dont be rude	não seja rude
whats up	tudo em cima
tom is nuts	tom está biruta
tom likes it	tom gosta
dont go away	não se vá
im not bald	eu não sou careca
im well	estou bem
turn it off	desligao
warn tom	fale para o tom
we are late	estamos atrasados
i hear you	eu te ouço
i feel tired	me sinto cansado
who knows	quem sabe
are you crazy	você está louco
youll do it	vocês vão fazer isso
he seems sick	ele parece doente
tomll cry	tom irá chorar
tom knows me	tom me conhece
its true	é verdade
youve won	vocês ganharam
tom is small	tom é pequeno
i want mine	eu quero o meu
she runs	ela corre
i dont lie	eu não minto
its	são
im fast	sou rápido
i went home	eu fui para casa
im the law	eu sou a lei
toms shy	tom é tímido
let go of it	solte isso
im mad	estou bravo
keep talking	continue falando
i was lucky	tive sorte
vote for tom	vote em tom
bring wine	traga vinho
i got up	eu me levantei
tom is naive	tom é ingênuo
i need paint	eu preciso de tinta
run	corra
i will try	vou tentar
i have eyes	eu tenho olhos
i cant swim	eu não sei nadar
im sober	estou sóbrio
tom is calm	tom está calmo
its new	isso é novo
read this	leia isso
this is ok	está bem
just relax	apenas relaxem
hit tom	acerta o tom
he just left	ele acabou de sair
im not sick	eu não estou doente
im stuffed	estou cheia
are you dying	você está morrendo
we agree	concordamos
have faith	tenha fé
i coughed	eu tossi
go away	cai fora
i drink milk	eu tomo leite
i did my best	fiz o melhor que pude
take it	peguea
wash up	lavemse
tom forgot	tom se esqueceu
its a rumor	é um boato
here we are	estamos aqui
i want this	eu quero isso
i dream a lot	eu sonho muito
look back	olhe para trás
hurry up	depressa
he avoids me	ele me evita
they voted	eles votaram
thats a lie	aquilo é mentira
i overslept	dormi mais do que devia
im bleeding	estou sangrando
have a seat	sentemse
come this way	vem por aqui
you fainted	você desmaiou
set tom free	libertem tom
keep focused	mantenha o foco
im trying	estou tentando
youre fools	vocês são burros
have a look	dá uma olhada
feed the bird	alimente o pássaro
you may stay	as senhoras podem ficar
im loved	sou amado
its fun	é divertido
he is a thief	ele é um ladrão
they agree	eles concordam
im bored	estou chateado
they refused	eles recusaram
tomll help	tom ajudará
its bizarre	é bizarro
tomll pay	tom irá pagar
take a bus	peguem um ônibus
please hurry	despachate por favor
help us	ajude a gente
im puzzled	estou intrigado
they walked	elas caminharam
youre old	a senhora é velha
be confident	seja confiante
we miss you	nós estamos com saudade de você
im lost	estou perdido
toms well	o tom está bem
come closer	chega mais perto
i need a hat	preciso de um chapéu
did you swim	você nadou
tom stayed	tom ficou
whos paying	quem está pagando
i am thirsty	estou sedento
i love you	te amo
itll be ok	vai ficar tudo bem
we need them	nós precisamos deles
he felt tired	sentiase cansado
were right	estamos certos
nobody lied	ninguém mentiu
tom yawned	tom bocejou
tom was fast	tom foi rápido
tom is old	o tom está velho
thats crazy	isso é loucura
ill do this	eu o farei
tom saw me	tom me viu
who panicked	quem entrou em pânico
tom is funny	tom é engraçado
i am busy	estou ocupada
it scared me	assustoume
were inside	estamos dentro
im escaping	eu estou escapando
release tom	solte o tom
i love tea	eu adoro chá
let me go	deixeme ir embora
tom is bored	tom está entediado
you are ugly	tu és feio
hello	olá
i noticed	eu notei
did tom win	o tom ganhou
its secret	é segredo
we waited	nós esperamos
i forgot	eu esqueci
tom danced	tom dançou
go ahead	vá em frente
i am human	sou humano
you need me	você precisa de mim
stay there	fique aí
please come	venham por favor
we knew that	sabíamos disso
we remember	nós estamos lembrados
dont scream	não gritem
we are boys	somos meninos
youre ok	você está bem
tom smiled	tom sorriu
i am chinese	sou chinês
she shot him	ela atirou nele
take care	cuidese
i cant win	eu não posso vencer
i need you	preciso de ti
listen up	escutem
were young	nós somos jovens
hes my age	ele tem a minha idade
she may come	pode que ela venha
we buy cds	compramos cds
sing with us	cante conosco
this is fine	está perfeito
im sleepy	estou com sono
youre sick	vocês estão doentes
are you sad	você está triste
im a cook	sou cozinheira
he has a car	ele tem um automóvel
i drank tea	eu tomei chá
thisll help	isso vai ajudar
stand aside	afastese
it failed	falhou
i can read	eu sei ler
youre lost	vocês estão perdidas
im losing	estou perdendo
then what	e agora
im certain	tenho certeza
it wasnt me	não fui eu
come quick	venha rápido
sit down	assentese
eat and drink	come e bebe
it was nice	foi legal
move over	chega para frente
who are you	quem são vocês
could it work	poderia funcionar
theyre in	estão dentro
this was fun	isto foi divertido
i feel cold	estou com frio
im bushed	eu estou exausto
i surrender	me rendo
dont push	não empurres
is tom alone	o tom está sozinho
tom approved	o tom aprovou
im rich	eu sou rica
stop tom	impeça o tom
who saw you	quem te viu
what a loser	que perdedor
i recovered	eu me recuperei
can i eat	posso comer
do i know you	eu conheçoo
wait up	esperem
thats fun	é divertido
keep quiet	fique quieto
go	vá
how cute	que bonitinha
i need it	eu preciso disso
its serious	isto é sério
youre lucky	você é sortuda
really	mesmo
go inside	vá para dentro
tom was kind	tom foi gentil
study hard	estude muito
i love cake	eu adoro bolo
theyre late	eles estão atrasados
i understood	entendi
they want me	elas me querem
im doing ok	eu estou bem
i am sick	sou doente
ill manage	conseguirei
he wants one	ele quer um
keep running	continue correndo
speak up	fale mais alto
im in rome	eu estou em roma
toms sad	tom está triste
its alive	ela está viva
i disagree	discordo
who built it	quem a construiu
who ran	quem correu
describe tom	descreva o tom
check again	confira de novo
you must go	você deve ir
be friendly	seja amigável
are you there	você está aí
i sell cars	eu vendo carros
tom panicked	tom entrou em pânico
well attack	vamos atacar
stand up	levantemse
he got angry	ele ficou com raiva
she hit him	ela bateu nele
i am studying	estou a estudar
how about you	e você como vai
stop smoking	para de fumar
lets leave	vamos embora
we were cold	estávamos com frio
dogs bark	cachorros latem
its free	é gratuito
try this	experimentem isto
its spring	é primavera
stop moving	para de se mexer
tom relaxed	tom relaxou
i wont tell	eu não vou contar
is this real	isso é de verdade
im very fat	sou muito gorda
im okay	eu estou bem
im cooking	estou cozinhando
whos hungry	quem está com fome
tom said no	tom disse não
i love cats	eu adoro gatos
boil one egg	cozinhe um ovo
i need you	eu preciso de você
lets hurry	vamos nos apressar
be fair	sejam justos
you will see	você verá
he shall die	ele deve morrer
i am taller	eu sou mais alto
are you lost	o senhor está perdido
tom is numb	tom é insensível
turn on cnn	ligue na cnn
join us	juntese
tom is heavy	tom está pesado
theyre gone	eles se foram
its food	é comida
he has wine	ele tem vinho
they voted	votaram
blood is red	o sangue é vermelho
are you shy	você é tímido
please leave	saia por favor
well see	veremos
its here	está aqui
let us in	deixenos entrar
ill get up	eu vou me levantar
youre shy	você é tímida
did tom laugh	o tom riu
tom is young	o tom está jovem
ive lost it	perdio
i love you	amo a ti
thats icky	isso é desagradável
see you	nos vemos
he shaved	se barbeou
burn the body	queimem o corpo
she tried	ela tentou
relax	relaxe
keep working	continue trabalhando
i did well	eu fui bem
have a look	veja
shes hot	ela está com calor
im not shy	não sou tímido
wish me luck	desejeme sorte
are you full	você está cheio
come on	vamos
try again	tenta de novo
i will obey	eu vou obedecer
she blushed	ela corou
take a seat	sentese
help me	ajudame
were here	nós estamos aqui
tom was rude	tom foi grosseiro
